---------------------------
|Data statistics|Number of|
|-------------------------|
|Records passed |    1,848|
---------------------------
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|SOrg.|Ship-To Pt|Purchase order no.  |Sales Doc |Created on|Delivery  |Item      |Material          |Dlvy Qty  |DlvTy|Deliv.Date|OvCS|Name 1                             |Name 2                                  |
|------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
|6410 |542798    |                    |          |06/08/2009|81967295  |000010    |661-4955          |2.000     |LB   |06/08/2009|    |Tech-Lead (Shanghai) Computer Co.Lt|Building F No.68, Rongjiang Rd.         |
|6410 |542797    |                    |          |06/09/2009|81968371  |000010    |661-4600          |9.000     |LB   |06/09/2009|    |SONY ELECTRONICS (S) PTE LTD       |                                        |
|6410 |IC0143SRV |                    |476924702 |06/11/2009|81968884  |000090    |922-8306          |21.000    |NLCC |06/12/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0143SRV |                    |476942555 |06/11/2009|81968885  |000030    |661-5225          |5.000     |NLCC |06/22/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0143SRV |                    |476947964 |06/11/2009|81968886  |000020    |661-5240          |3.000     |NLCC |06/22/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0143SRV |                    |476947964 |06/11/2009|81968886  |000030    |661-5241          |1.000     |NLCC |06/22/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0143SRV |                    |476948256 |06/11/2009|81968887  |000010    |922-8874          |2.000     |NLCC |06/25/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0143SRV |                    |476948490 |06/11/2009|81968888  |000010    |661-5105          |2.000     |NLCC |06/22/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0143SRV |                    |476948573 |06/11/2009|81968889  |000010    |922-8871          |2.000     |NLCC |06/22/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0143SRV |                    |476948573 |06/11/2009|81968889  |000020    |922-8868          |2.000     |NLCC |06/22/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0143SRV |                    |476948573 |06/11/2009|81968889  |000030    |922-8873          |2.000     |NLCC |06/22/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0151SRV |                    |476947957 |06/11/2009|81969781  |000010    |922-9024          |1.000     |NLCC |06/22/2009|    |APPLE COMPUTER TRADING (SHANGHAI)  |CO,LTD                                  |
|6410 |IC0132SRV |                    |476947958 |06/11/2009|81969782  |000010    |922-9024          |1.000     |NLCC |06/22/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0143SRV |                    |476947959 |06/11/2009|81969783  |000010    |922-9024          |1.000     |NLCC |06/22/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |IC0132SRV |                    |476952501 |06/11/2009|81971001  |000010    |Z922-6676         |1.000     |NLCC |06/22/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476952501 |06/11/2009|81971001  |000020    |922-8279          |3.000     |NLCC |06/22/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0132SRV |                    |476952501 |06/11/2009|81971001  |000030    |FE922-7696        |8.000     |NLCC |06/22/2009|    |APPLE INDIA PRIVATE LIMITED        |SURVEY NO. 86, KOLLUR VILLAGE,          |
|6410 |IC0143SRV |                    |476942646 |06/11/2009|81971098  |000010    |661-5145          |3.000     |NLCC |06/25/2009|    |APPLE KOREA SERVICE DEPARTMENT     |C/O SCHENKER KOREA LTD                  |
|6410 |618976    |                    |          |06/11/2009|81971256  |000010    |661-4433          |7.000     |LB   |06/11/2009|    |DELTA ELECTRONICS (JIANGSU) LTD    |NO. 1688 JIANGXING EAST ROAD            |
|6410 |618976    |                    |          |06/11/2009|81971257  |000010    |661-4995          |2.000     |LB   |06/11/2009|    |DELTA ELECTRONICS (JIANGSU) LTD    |NO. 1688 JIANGXING EAST ROAD            |
|6410 |618976    |                    |          |06/11/2009|81971258  |000010    |661-4478          |1.000     |LB   |06/11/2009|    |DELTA ELECTRONICS (JIANGSU) LTD    |NO. 1688 JIANGXING EAST ROAD            |
|6410 |618976    |                    |          |06/11/2009|81971259  |000010    |661-5036          |6.000     |LB   |06/11/2009|    |DELTA ELECTRONICS (JIANGSU) LTD    |NO. 1688 JIANGXING EAST ROAD            |
|6410 |IC0084SRV |                    |476952723 |06/12/2009|81971297  |000010    |333-0821          |10.000    |NLCC |06/22/2009|    |APPLE JAPAN HOLDINGS LTD           |C/O SCHENKER-SEINO CO. LTD              |
|6410 |IC0084SRV |                    |476952723 |06/12/2009|81971297  |000020    |661-2821          |5.000     |NLCC |06/22/2009|    |APPLE JAPAN HOLDINGS LTD           |C/O SCHENKER-SEINO CO. LTD              |
|6410 |IC0082SRV |                    |476952708 |06/11/2009|81971641  |000010    |661-4736          |20.000    |NLCC |06/21/2009|    |APPLE PTY LIMITED C/O CEVA         |Logistics Australia                     |
|6410 |IC0082SRV |                    |476952708 |06/11/2009|81971641  |000020    |661-5021          |30.000    |NLCC |06/21/2009|    |APPLE PTY LIMITED C/O CEVA         |Logistics Australia                     |
